               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,             0.06103,            0.052309,            0.024274,             0.48452,             0.53652,             0.41447,              0.1138,            0.053956,            0.048168,            0.026654,           0.0031521,           0.0031521,             0.06999
                   2,            0.048297,            0.046311,            0.012607,             0.75536,             0.67529,             0.74178,             0.31428,            0.043982,            0.060814,            0.012477,           0.0059913,           0.0059913,            0.039496
                   3,            0.046438,            0.045986,            0.011162,             0.66492,             0.56856,             0.58172,             0.23127,            0.051046,            0.047167,            0.019556,           0.0085004,           0.0085004,           0.0086714
                   4,            0.043054,            0.043902,           0.0095782,             0.91932,             0.86984,             0.92845,             0.47481,            0.038008,            0.030794,           0.0049558,             0.00802,             0.00802,             0.00802
                   5,            0.038991,            0.041755,           0.0081321,             0.92066,             0.89643,             0.94334,             0.54332,            0.032976,            0.028703,           0.0051903,             0.00802,             0.00802,             0.00802
                   6,            0.037268,            0.040719,           0.0071731,             0.88986,              0.8534,             0.89097,             0.45582,            0.037683,            0.030952,           0.0088253,            0.007525,            0.007525,            0.007525
                   7,            0.036314,            0.039618,           0.0062155,              0.8702,              0.7922,             0.83929,             0.45089,            0.039398,            0.038375,           0.0066184,             0.00703,             0.00703,             0.00703
                   8,            0.034256,            0.038538,           0.0058625,             0.95193,             0.93129,             0.95587,              0.5825,            0.031649,            0.027017,           0.0044788,            0.006535,            0.006535,            0.006535
                   9,            0.033763,            0.037073,           0.0055739,             0.95061,              0.9415,             0.96839,             0.61149,            0.029274,             0.02572,           0.0034352,             0.00604,             0.00604,             0.00604
                  10,            0.032185,            0.036416,           0.0051033,             0.96727,             0.95185,             0.97581,             0.65574,            0.026802,            0.024771,           0.0028805,            0.005545,            0.005545,            0.005545
                  11,            0.032055,            0.036024,           0.0049985,             0.96485,             0.95982,             0.97931,             0.66389,            0.026257,            0.023969,           0.0027045,             0.00505,             0.00505,             0.00505
                  12,            0.030958,            0.035018,           0.0048175,             0.96898,             0.95843,             0.97711,             0.66614,            0.026886,            0.024109,           0.0025949,            0.004555,            0.004555,            0.004555
                  13,            0.030105,            0.034521,           0.0048116,             0.96676,             0.96459,             0.97868,             0.67486,            0.026053,            0.024315,           0.0023091,             0.00406,             0.00406,             0.00406
                  14,            0.029923,            0.034501,           0.0042607,             0.96396,             0.96676,             0.97148,             0.67832,            0.025618,             0.02363,           0.0027208,            0.003565,            0.003565,            0.003565
                  15,              0.0288,            0.033349,           0.0040984,             0.97697,             0.97949,             0.98706,             0.71554,            0.023624,            0.022296,           0.0017851,             0.00307,             0.00307,             0.00307
                  16,            0.028299,            0.032938,           0.0040225,             0.97379,             0.97695,             0.98313,             0.68377,            0.025082,            0.023676,           0.0020706,            0.002575,            0.002575,            0.002575
                  17,            0.027458,            0.032469,           0.0038063,             0.97491,             0.97039,             0.97789,             0.71118,            0.023488,            0.022345,           0.0024446,             0.00208,             0.00208,             0.00208
                  18,            0.027183,             0.03189,           0.0035798,             0.97514,             0.98073,             0.98214,             0.72354,            0.023302,            0.021787,           0.0016539,            0.001585,            0.001585,            0.001585
                  19,            0.026709,            0.031591,           0.0037488,             0.97887,             0.98372,             0.98533,             0.72933,            0.022849,            0.021914,           0.0016449,             0.00109,             0.00109,             0.00109
                  20,            0.026298,            0.031419,           0.0033833,             0.98383,             0.98384,              0.9877,             0.73958,            0.022097,            0.021153,           0.0014783,            0.000595,            0.000595,            0.000595
