               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,            0.087815,            0.054346,            0.036933,             0.27356,             0.53937,             0.27869,            0.058937,            0.061417,            0.036285,            0.029081,           0.0031521,           0.0031521,             0.06999
                   2,            0.063289,            0.045788,            0.021861,             0.68797,             0.68593,             0.70523,             0.25232,            0.047804,            0.033047,            0.011637,           0.0059913,           0.0059913,            0.039496
                   3,            0.057696,            0.043731,            0.012607,             0.66522,             0.73717,             0.68669,             0.21244,            0.052289,            0.033413,           0.0092094,           0.0085004,           0.0085004,           0.0086714
                   4,            0.048501,            0.042017,           0.0096438,             0.89288,             0.83729,             0.90657,             0.41106,            0.040106,            0.029964,           0.0079417,             0.00802,             0.00802,             0.00802
                   5,             0.04243,            0.040351,           0.0081237,             0.94763,             0.91775,             0.95554,             0.56778,            0.031391,            0.026753,           0.0062031,             0.00802,             0.00802,             0.00802
                   6,            0.038663,            0.039295,           0.0069064,             0.96159,              0.9441,              0.9714,             0.61394,            0.029608,            0.025664,           0.0039933,            0.007525,            0.007525,            0.007525
                   7,            0.037017,            0.038284,           0.0061239,             0.94272,             0.94232,             0.95731,               0.587,            0.029989,            0.025517,           0.0048102,             0.00703,             0.00703,             0.00703
                   8,            0.035068,             0.03717,            0.005787,             0.93881,             0.93652,             0.95566,              0.5765,              0.0327,            0.026456,           0.0042783,            0.006535,            0.006535,            0.006535
                   9,            0.033455,            0.035379,           0.0053311,             0.96117,             0.96595,              0.9755,             0.64041,            0.027665,            0.024358,           0.0030388,             0.00604,             0.00604,             0.00604
                  10,            0.031564,            0.035019,           0.0052503,             0.96386,             0.95761,             0.97479,             0.65291,            0.026952,            0.024465,           0.0030445,            0.005545,            0.005545,            0.005545
                  11,            0.031481,            0.034825,           0.0048912,             0.96384,             0.96438,             0.97678,             0.65448,            0.027172,            0.024424,           0.0034465,             0.00505,             0.00505,             0.00505
                  12,            0.030263,            0.033983,           0.0046215,             0.97277,              0.9565,             0.97453,             0.67579,            0.025945,            0.023994,           0.0026964,            0.004555,            0.004555,            0.004555
                  13,            0.029269,            0.033508,           0.0044988,              0.9712,             0.97792,             0.98495,             0.70012,            0.023959,            0.022661,           0.0025266,             0.00406,             0.00406,             0.00406
                  14,            0.028742,            0.033365,           0.0041364,             0.96312,             0.96762,             0.97244,             0.66941,            0.026614,            0.023896,           0.0028082,            0.003565,            0.003565,            0.003565
                  15,             0.02789,            0.032528,           0.0040804,             0.97409,             0.97712,              0.9849,             0.70362,            0.024281,            0.022686,           0.0021187,             0.00307,             0.00307,             0.00307
                  16,             0.02748,            0.032257,           0.0040656,             0.97647,             0.98069,             0.98532,              0.7239,            0.022843,            0.021825,           0.0017549,            0.002575,            0.002575,            0.002575
                  17,            0.026752,            0.031904,           0.0038567,              0.9722,             0.97789,             0.98238,             0.72767,            0.022628,             0.02174,           0.0019688,             0.00208,             0.00208,             0.00208
                  18,            0.026425,            0.031526,           0.0036757,             0.97747,             0.97735,             0.98419,              0.7236,            0.023109,            0.021955,           0.0018591,            0.001585,            0.001585,            0.001585
                  19,            0.026201,            0.031291,           0.0038834,             0.98214,             0.97881,             0.98612,             0.73869,            0.021979,            0.021209,           0.0016467,             0.00109,             0.00109,             0.00109
                  20,             0.02616,            0.031383,           0.0035864,             0.97693,             0.97765,             0.98249,             0.72118,            0.023224,            0.021962,           0.0018979,            0.000595,            0.000595,            0.000595
