               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,            0.056351,            0.049106,            0.021391,             0.40095,              0.4916,             0.37061,             0.10304,            0.065019,            0.068247,            0.014367,           0.0031521,           0.0031521,             0.06999
                   2,             0.04576,            0.046329,             0.01086,             0.56941,             0.61824,             0.57434,             0.21165,            0.051003,            0.046482,            0.024169,           0.0059913,           0.0059913,            0.039496
                   3,            0.043512,            0.044451,           0.0098861,             0.86942,              0.8168,             0.88262,              0.4058,            0.039232,            0.036534,           0.0083694,           0.0085004,           0.0085004,           0.0086714
                   4,            0.040657,            0.041916,           0.0084191,              0.7091,             0.60932,             0.63562,             0.27567,            0.053892,            0.053248,             0.02172,             0.00802,             0.00802,             0.00802
                   5,            0.037559,            0.039478,           0.0073985,             0.90986,             0.91831,             0.94231,             0.54924,             0.03246,            0.029058,           0.0049237,             0.00802,             0.00802,             0.00802
                   6,            0.034635,            0.037553,           0.0059688,              0.9411,             0.94972,             0.96493,             0.57677,            0.030854,            0.027589,             0.00351,            0.007525,            0.007525,            0.007525
                   7,            0.033154,            0.036226,           0.0052111,             0.94527,             0.91459,             0.94382,             0.56933,            0.030858,            0.028259,           0.0064662,             0.00703,             0.00703,             0.00703
                   8,            0.031576,            0.035543,           0.0048785,              0.9638,             0.95474,             0.97388,             0.66287,            0.026978,            0.024703,           0.0029494,            0.006535,            0.006535,            0.006535
                   9,            0.030772,            0.035267,           0.0048217,             0.95736,             0.96621,             0.97784,               0.669,            0.026672,            0.024519,           0.0028279,             0.00604,             0.00604,             0.00604
                  10,            0.029831,            0.034647,           0.0041578,             0.97187,              0.9639,             0.97613,             0.68038,            0.025854,            0.023817,            0.002959,            0.005545,            0.005545,            0.005545
                  11,            0.028914,            0.033258,           0.0043035,             0.97325,             0.97393,             0.98044,             0.69419,            0.024588,            0.022997,           0.0021678,             0.00505,             0.00505,             0.00505
                  12,            0.028241,            0.032662,           0.0041137,             0.97208,             0.97677,             0.98119,             0.70251,            0.024238,            0.022657,           0.0021281,            0.004555,            0.004555,            0.004555
                  13,            0.027182,            0.032272,           0.0039853,             0.97282,             0.97444,             0.98112,             0.71631,            0.023179,            0.022183,           0.0022471,             0.00406,             0.00406,             0.00406
                  14,            0.026678,            0.031221,           0.0037434,             0.96551,             0.97242,             0.97794,             0.68949,             0.02503,            0.023241,           0.0022095,            0.003565,            0.003565,            0.003565
                  15,            0.026502,            0.031299,           0.0034257,             0.98131,             0.97804,             0.98648,             0.72725,            0.022821,            0.021522,            0.002051,             0.00307,             0.00307,             0.00307
                  16,            0.026032,            0.031044,           0.0034237,             0.97875,             0.98156,             0.98534,             0.73007,            0.022878,            0.021679,           0.0024242,            0.002575,            0.002575,            0.002575
                  17,            0.025078,            0.029996,           0.0032783,             0.98127,             0.97933,             0.98566,              0.7444,            0.022116,            0.020887,           0.0014819,             0.00208,             0.00208,             0.00208
                  18,            0.024459,            0.029332,           0.0031187,             0.98384,             0.97925,             0.98755,              0.7604,            0.020825,            0.020257,           0.0014879,            0.001585,            0.001585,            0.001585
                  19,            0.024084,            0.029273,           0.0030051,             0.98309,             0.98323,             0.98913,             0.77002,            0.020716,            0.020091,           0.0013842,             0.00109,             0.00109,             0.00109
                  20,            0.023399,            0.028779,           0.0029653,             0.98669,             0.98472,             0.99035,             0.77633,             0.02036,            0.019735,           0.0013363,            0.000595,            0.000595,            0.000595
