               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,            0.080309,            0.057335,            0.035174,             0.33033,             0.62608,             0.41884,             0.12736,            0.054005,            0.034048,            0.025417,           0.0031521,           0.0031521,             0.06999
                   2,            0.060076,            0.044798,            0.019033,             0.53813,             0.76276,             0.67756,             0.28004,            0.045068,            0.030086,            0.011447,           0.0059913,           0.0059913,            0.039496
                   3,            0.053353,             0.04116,            0.010679,             0.78222,             0.83137,             0.84306,             0.34844,            0.045125,            0.029077,           0.0073091,           0.0085004,           0.0085004,           0.0086714
                   4,            0.043714,            0.038435,            0.007863,             0.94534,             0.89935,             0.95167,             0.53832,            0.034161,            0.028114,           0.0057162,             0.00802,             0.00802,             0.00802
                   5,            0.038295,            0.036361,           0.0063437,              0.9483,             0.93983,             0.96955,             0.61467,            0.029431,            0.026668,           0.0042196,             0.00802,             0.00802,             0.00802
                   6,            0.034441,            0.034818,           0.0055914,             0.97057,             0.96281,             0.97493,             0.65079,            0.027237,            0.024167,           0.0031747,            0.007525,            0.007525,            0.007525
                   7,            0.032257,            0.033791,           0.0047838,             0.96004,             0.95924,             0.96804,             0.65579,            0.027591,            0.024137,           0.0041566,             0.00703,             0.00703,             0.00703
                   8,             0.03037,            0.033142,           0.0045566,             0.97418,             0.97132,             0.97796,             0.70353,            0.024437,            0.022225,           0.0025804,            0.006535,            0.006535,            0.006535
                   9,            0.029518,            0.032772,           0.0044241,             0.96732,             0.97258,              0.9773,             0.65029,            0.027537,            0.023458,            0.002963,             0.00604,             0.00604,             0.00604
                  10,            0.028317,             0.03225,           0.0038717,             0.97605,             0.98121,             0.98455,             0.71558,            0.023292,            0.021526,           0.0021071,            0.005545,            0.005545,            0.005545
                  11,            0.027252,            0.031018,           0.0040112,             0.96885,             0.97392,              0.9809,             0.69714,             0.02453,            0.022587,           0.0028703,             0.00505,             0.00505,             0.00505
                  12,            0.026033,            0.030273,            0.003729,             0.98043,              0.9811,             0.98478,             0.73741,            0.022228,            0.020749,           0.0021014,            0.004555,            0.004555,            0.004555
                  13,            0.025281,            0.030107,           0.0035868,             0.98469,             0.98133,             0.98893,              0.7508,            0.021138,            0.020543,           0.0018341,             0.00406,             0.00406,             0.00406
                  14,             0.02461,            0.029191,           0.0033811,              0.9808,             0.98141,             0.98369,             0.75448,            0.020602,            0.020133,           0.0019824,            0.003565,            0.003565,            0.003565
                  15,            0.024206,            0.029225,           0.0031128,             0.98336,             0.98244,             0.98887,             0.76541,            0.020306,            0.019748,           0.0018638,             0.00307,             0.00307,             0.00307
                  16,            0.023619,            0.028832,           0.0031134,             0.98459,             0.98419,             0.99016,             0.76387,             0.02043,            0.019684,           0.0015825,            0.002575,            0.002575,            0.002575
                  17,            0.022944,            0.028138,           0.0030017,              0.9813,             0.97578,              0.9885,             0.75874,            0.020634,             0.02018,           0.0018817,             0.00208,             0.00208,             0.00208
                  18,            0.022708,            0.027816,           0.0029027,             0.98871,             0.98635,             0.99067,             0.77959,            0.019441,            0.019225,           0.0014065,            0.001585,            0.001585,            0.001585
                  19,            0.022486,            0.027923,           0.0028062,             0.98614,             0.98489,             0.98987,             0.77578,            0.019831,            0.019409,           0.0015235,             0.00109,             0.00109,             0.00109
                  20,             0.02211,            0.027686,           0.0028029,             0.98705,             0.98652,             0.98973,             0.77921,            0.019601,            0.019232,           0.0014043,            0.000595,            0.000595,            0.000595
